symbol,parent_ticker,base_override,qdi_flag,structure,coupon_type,status,exclude_reason,note,source
AAIN,AAIC,,no,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
ABR-D,ABR,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ABR-E,ABR,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ABR-F,ABR,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ACGLN,ACGL,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ACGLO,ACGL,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ACP-A,ACP,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ACR-C,ACR,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ACR-D,ACR,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ADC-A,ADC,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AEFC,AEG,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AEL-A,AEL,,yes,PREFERRED,FIX_TO_FLOAT,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
AESC,AES,,no,PREFERRED,MAND_CONVERT,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
AFFS,AFG,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFFT,AFG,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFGB,AFG,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFGC,AFG,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFGD,AFG,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFGE,AFG,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFSIA,AFG,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFSIB,AFG,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFSIC,AFG,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFSIM,AFG,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFSIN,AFG,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AFSIP,AFG,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AGM-C,AGM,,yes,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
AGM-D,AGM,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AGM-E,AGM,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AGM-F,AGM,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AGM-G,AGM,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AGNCL,AGNC,,no,PREFERRED,FIX_TO_FLOAT,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AGNCM,AGNC,,no,PREFERRED,FIX_TO_FLOAT,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AGNCN,AGNC,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AGNCO,AGNC,,no,PREFERRED,FIX_TO_FLOAT,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AGNCP,AGNC,,no,PREFERRED,FIX_TO_FLOAT,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AHH-A,AHH,,no,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
AHL-C,APO,,yes,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
AHL-D,APO,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AHL-E,APO,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AHT-D,AHT,0.085,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AHT-F,AHT,0.085,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AHT-G,AHT,0.085,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AHT-H,AHT,0.085,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AHT-I,AHT,0.085,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AIG-A,AIG,,yes,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
AILIH,AEE,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AILIM,AEE,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AILIN,AEE,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AILIO,AEE,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AILIP,AEE,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AILLI,AEE,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AILLM,AEE,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AILLN,AEE,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AILLO,AEE,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AILLP,AEE,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AIRTP,AIRT,,no,TRUPS,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AIZN,AIZ,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AJXA,AJX,,no,BABY_BOND,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
AL-A,AL,,yes,PREFERRED,FIX_TO_FLOAT,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
ALL-B,ALL,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ALL-H,ALL,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ALL-I,ALL,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ALL-J,ALL,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ALTG-A,ALTG,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AMH-G,AMH,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AMH-H,AMH,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
APO-A,APO,,yes,PREFERRED,MAND_CONVERT,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
APOS,APO,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AQNA,AQN,,no,BABY_BOND,FIX_TO_FLOAT,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
AQNB,AQN,,no,BABY_BOND,FIX_TO_FLOAT,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AQNU,AQN,,no,PREFERRED,MAND_CONVERT,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
ARBKL,ARBK,,no,BABY_BOND,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
ARGD,ARGO,,no,BABY_BOND,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
ARR-C,ARR,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ASB-E,ASB,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ASB-F,ASB,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ASBA,ASB,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ATCO-D,ATCO,,no,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
ATCO-H,ATCO,,no,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
ATCO-I,ATCO,,no,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
ATCOL,ATCO,,no,BABY_BOND,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
ATH-A,APO,,yes,PREFERRED,FIX_TO_FLOAT,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ATH-B,APO,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ATH-C,APO,,yes,PREFERRED,RESET,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
ATH-D,APO,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ATH-E,APO,,yes,PREFERRED,FIX_TO_FLOAT,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ATLCL,ATLC,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
ATLCP,ATLC,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AUB-A,AUB,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AULT-D,AULT,,no,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
AUVIP,AUVI,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
AXS-E,AXS,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BAC-B,BAC,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BAC-E,BAC,,yes,PREFERRED,FLOATER,EXCLUDED,TRUE_FLOATER,,prefsTEST.xlsx 2026-08-21
BAC-K,BAC,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BAC-L,BAC,,yes,TRUPS,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BAC-M,BAC,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BAC-N,BAC,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BAC-O,BAC,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BAC-P,BAC,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BAC-Q,BAC,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BAC-S,BAC,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BACRP,BAC,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BANFP,BANF,,no,TRUPS,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BC-A,BC,,no,BABY_BOND,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
BC-B,BC,,no,BABY_BOND,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
BC-C,BC,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BCV-A,BCV,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BEP-A,BEP,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BEPH,BEP,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BEPI,BEP,,yes,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BFS-D,BFS,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BFS-E,BFS,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BHFAL,BHF,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BHFAM,BHF,,yes,PREFERRED,MAND_CONVERT,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BHFAN,BHF,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BHFAO,BHF,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BHFAP,BHF,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BHR-B,BHR,,no,PREFERRED,CONVERTIBLE,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BHR-D,BHR,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BIP-A,BIP,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BIP-B,BIP,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BIPH,BIP,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BIPI,BIP,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BKAAF,BN,,no,PREFERRED,FIXED,EXCLUDED,NON_US,,prefsTEST.xlsx 2026-08-21
BML-G,BAC,,yes,PREFERRED,FLOATER,EXCLUDED,TRUE_FLOATER,,prefsTEST.xlsx 2026-08-21
BML-H,BAC,,yes,PREFERRED,FLOATER,EXCLUDED,TRUE_FLOATER,,prefsTEST.xlsx 2026-08-21
BML-J,BAC,,yes,PREFERRED,FLOATER,EXCLUDED,TRUE_FLOATER,,prefsTEST.xlsx 2026-08-21
BML-L,BAC,,yes,PREFERRED,FLOATER,EXCLUDED,TRUE_FLOATER,,prefsTEST.xlsx 2026-08-21
BMYMP,BMY,,yes,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
BNH,BN,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BNJ,BN,,no,BABY_BOND,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BOH-A,BOH,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BPOPM,BPOP,,no,TRUPS,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BPOPO,BPOP,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BPYPM,BN,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BPYPN,BPY,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BPYPO,BPY,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BPYPP,BPY,,no,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BROXF,BN,,no,PREFERRED,FIXED,EXCLUDED,NON_US,,prefsTEST.xlsx 2026-08-21
BW-A,BW,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BWBBP,BWB,,yes,PREFERRED,FIXED,TRADEABLE,,,prefsTEST.xlsx 2026-08-21
BWNB,BW,,no,BABY_BOND,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
BWSN,BW,,no,BABY_BOND,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
C-J,C,0.075,yes,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
C-K,C,0.075,yes,PREFERRED,FIXED,EXCLUDED,NO_PRICE_FEED,seeded: no price on the EZE feed,prefsTEST.xlsx 2026-08-21
