parent_ticker,parent_name,issues,issues_with_price,cached_mktcap_mm,symbol_suspect
AAIC,na,1,0,,
ABR,ARBOR REALTY TRUST INC,3,3,966,
ACGL,ARCH CAP GROUP LTD,2,2,33900,
ACP,ABRDN INCOME CREDIT STRATEGIES,1,1,637,
ACR,ACRES COMMERCIAL REALTY CORP COM NEW,2,2,104,
ADC,AGREE RLTY CORP,1,1,9300,
AEE,AMEREN CORP,18,18,30100,
AEG,AEGON LTD AMER REG 1 CERT,1,1,14200,
AEL,na,1,0,,
AES,AES CORP,1,0,10500,
AFG,AMERICAN FINANCIAL GROUP INC,12,12,11900,
AGM,FEDERAL AGRIC MTG CORP CL C,5,4,2100,
AGNC,AGNC INVT CORP,5,5,12900,
AGR,na,1,1,,YES
AHH,na,1,0,,
AHT,ASHFORD HOSPITALITY TR INC COM NEW,5,5,21,
AIG,AMERICAN INTL GROUP INC COM NEW,1,0,39600,
AIRT,AIR T INC,1,1,78,
AIZ,ASSURANT INC,1,1,13900,
AJX,na,1,0,,
AL,na,1,0,,
ALL,ALLSTATE CORP,4,4,64400,
ALTG,ALTA EQUIPMENT GROUP INC COMMON STOCK,1,1,209,
AMG,AFFILIATED MANAGERS GROUP,3,3,9100,
AMH,AMERICAN HOMES 4 RENT CL A,2,2,12300,
AON,AON PLC SHS CL A,1,1,74700,
APO,APOLLO GLOBAL MGMT INC,10,7,76800,
AQN,ALGONQUIN PWR UTILS CORP,3,1,6200,
ARBK,ARGO BLOCKCHAIN PLC SPONSORED ADS,1,0,43,
ARGO,na,1,0,,
ARR,ARMOUR RESIDENTIAL REIT INC COM SHS,1,1,2300,
ASB,ASSOCIATED BANC-CORP,3,3,5800,
ATCO,na,4,0,,
ATLC,ATLANTICUS HOLDINGS CORP,2,2,1400,
AUB,ATLANTIC UN BANKSHARES CORP,1,1,5900,
AULT,na,1,0,,
AUVI,APPLIED UV INC COM NEW,1,1,,YES
AXS,AXIS CAP HLDGS LTD,1,1,7200,
BAC,BANK OF AMER CORP,17,17,432600,
BANF,BANCFIRST CORP,1,1,3800,
BC,BRUNSWICK CORP,3,1,5300,
BCV,BANCROFT FD LTD,1,1,144,
BEP,BROOKFIELD RENEWABLE ENERGY PARTNERSHIP UNIT,3,3,9900,
BFS,SAUL CTRS INC,2,2,840,
BHF,BRIGHTHOUSE FINL INC,5,5,3100,
BHR,BRAEMAR HOTELS & RESORTS INC,2,2,139,
BIP,BROOKFIELD INFRASTRUCTURE PART LP INT UNIT,4,4,18000,
BMY,BRISTOL-MYERS SQUIBB CO,1,0,133700,
BN,BROOKFIELD CORP CL A LTD VT SH,7,6,127400,
BOH,BANK HAWAII CORP,1,1,3100,
BPOP,POPULAR INC COM NEW,2,2,10700,
BPY,na,4,4,,YES
BW,BABCOCK & WILCOX ENTERPRISES,3,1,1300,
BWB,BRIDGEWATER BANCSHARES INC,1,1,600,
C,CITIGROUP INC COM NEW,3,1,217500,
CADE,na,2,1,,YES
CCLD,CARECLOUD INC,2,0,111,
CCNE,CNB FINL CORP PA,1,1,1000,
CDR,na,2,2,,YES
CDZI,CADIZ INC COM NEW,1,1,300,
CEQP,na,1,0,,
CETX,CEMTREX INC,1,1,4,
CFG,CITIZENS FINL GROUP INC,2,1,29400,
CFR,CULLEN FROST BANKERS INC,1,1,10200,
CG,CARLYLE GROUP INC,1,1,17100,
CHMI,CHERRY HILL MTG INVT CORP,2,2,108,
CHRA,na,6,6,,YES
CIM,CHIMERA INVT CORP COM SHS,4,4,969,
CIO,na,1,0,,
CLDT,CHATHAM LODGING TR,1,1,623,
CLVT,CLARIVATE PLC ORD SHS,1,0,1300,
CMRE,COSTAMARE INC,4,3,1800,
CMS,CMS ENERGY CORP,5,5,21900,
CNFR,na,2,0,,
CNO,CNO FINL GROUP INC,2,1,4900,
CODI,COMPASS DIVERSIFIED SH BEN INT,3,3,869,
COF,CAPITAL ONE FINL CORP,5,5,130400,
COMS,COMSOVEREIGN HLDG CORP COM NEW,1,1,,YES
CORR,na,1,0,,
CSR,CENTERSPACE,1,0,909,
CSSE,na,2,0,,
CSWC,CAPITAL SOUTHWEST CORP,1,0,1600,
CTLP,na,1,0,,
CTO,CTO RLTY GROWTH INC NEW,1,1,823,
CTVA,CORTEVA INC,2,2,53000,
CUBI,CUSTOMERS BANCORP INC,3,1,2700,
CYCC,na,1,0,,
D,DOMINION ENERGY INC,1,1,59300,
DBRG,DIGITALBRIDGE GROUP INC CL A NEW,3,3,3000,
DCOM,DIME COML BANCSHARES INC,1,0,1800,
DCP,na,1,0,,
DDS,DILLARDS INC CL A,1,1,7000,
DHC,DIVERSIFIED HEALTHCARE TR COM SH BEN INT,2,2,2000,
DLNG,DYNAGAS LNG PARTNERS LP COM UNIT LTD PT,2,1,139,
DLR,DIGITAL RLTY TR INC,3,3,71900,
DRH,DIAMONDROCK HOSPITALITY CO,1,0,2600,
DSHK,na,3,0,,
DSX,DIANA SHIPPING INC,1,1,329,
DTE,DTE ENERGY CO,3,3,28700,
DUK,DUKE ENERGY CORP NEW COM NEW,2,2,95700,
DX,DYNEX CAP INC,1,1,3300,
ECC,EAGLE POINT CR CO,5,3,502,
ECF,ELLSWORTH GROWTH & INCOME FD,1,1,171,
